duration_rust_single_threaded; rust_multi_threaded; rust_rayon ; java_single_threaded; java_multi_threaded; java_multi_threaded_virtual
5874; 170; 176;  9464;   3844;  3829
5906; 169; 171;  8802;   3844;  3823
5888; 171; 168;  8943;   3827;  3823
5839; 172; 171;  8778;   3826;  3821
6167; 169; 171;  8558;   3820;  3821
6027; 174; 186;  8736;   3829;  3820
6180; 171; 170;  8756;   3830;  3823
6046; 170; 177;  8818;   3826;  3815
6027; 169; 178;  8861;   3823;  3818
5839; 171; 168;  8826;   3887;  3844
5942; 173; 170;  8804;   3855;  3862
6223; 173; 169;  8797;   3827;  3825
6030; 177; 173;  8844;   3831;  3819
6143; 170; 176;  8770;   3823;  3823
6124; 173; 182;  8820;   3821;  3816
5911; 171; 169;  8670;   3821;  3821
5939; 170; 170;  8768;   3821;  3818
5899; 168; 181;  8809;   3820;  3816
5913; 171; 172;  8779;   3818;  3820
5952; 169; 172;  8793;   3818;  3815
5866; 171; 168;  8931;   3821;  3817
5825; 169; 170;  8926;   3818;  3818
5829; 169; 170;  8857;   3822;  3820
6084; 172; 168;  8813;   3821;  3822
6192; 170; 171;  8804;   3820;  3820
5983; 172; 169;  8723;   3824;  3820
6046; 170; 171;  8682;   3825;  3810
6157; 172; 173;  8980;   3820;  3800
6135; 171; 172;  8863;   3823;  3814
6004; 172; 171;  8843;   3823;  3821
6106; 171; 171;  8986;   3825;  3819
6105; 168; 209;  8933;   3819;  3823
6077; 172; 209;  8948;   3818;  3817
6083; 171; 173;  8949;   3810;  3818
6000; 170; 172;  8806;   3822;  3820
6188; 171; 168;  8452;   3821;  3821
6171; 173; 171;  8922;   3826;  3822
6087; 169; 172;  8598;   3824;  3823
6202; 169; 170;  8572;   3822;  3808
5994; 173; 172;  8800;   3820;  3816
6208; 172; 173;  8840;   3818;  3808
5831; 171; 174;  8955;   3819;  3806
6164; 170; 172;  9123;   3831;  3830
5883; 170; 178;  8889;   3831;  3830
5842; 173; 178;  8744;   3823;  3808
5795; 174; 170;  8939;   3830;  3812
5950; 169; 171;  8854;   3826;  3826
6206; 176; 210;  8419;   3833;  3822
6233; 174; 169;  8933;   3825;  3822
6192; 176; 171;  8887;   3820;  3822
